        Timestamp    cpu_percent   active_memory ChallengeFailed  ChallengeRecvd   ChallengeSent
1520998824.393882           50.0       666664960          391035           45397         6102335
1520998825.913032            1.5       661839872          391035           45397         6102335
1520998826.419359            0.0       661921792          391035           45397         6102335
1520998827.432033            1.0       661848064          391035           45397         6102335
1520998824.900273            2.4       661790720          391035           45397         6102335
1520998825.406674            0.5       661794816          391035           45397         6102335
1520998826.925740            0.5       661893120          391035           45397         6102335
1520998828.451739            0.5       661856256          391035           45397         6102335
1520998827.945192            0.0       661893120          391035           45397         6102335
1520998828.958098            0.5       661897216          391035           45397         6102335
1520998829.464441            0.5       661852160          391035           45397         6102335
1520998830.477153            0.5       661901312          391035           45397         6102335
1520998829.970775            0.5       661897216          391035           45397         6102335
1520998830.983498            0.0       661852160          391035           45397         6102335
1520998832.506924            1.0       661942272          391035           45397         6102335
1520998833.013284            0.5       661901312          391035           45397         6102335
1520998834.532314            0.0       661954560          391035           45397         6102335
1520998831.494266            1.0       661856256          391035           45397         6102335
1520998832.000611            0.0       661901312          391035           45397         6102335
1520998833.519604            0.5       661868544          391035           45397         6102335
1520998834.026016            0.0       661913600          391035           45397         6102335
1520998835.548738            0.5       661958656          391035           45397         6102335
1520998835.042418            1.0       661913600          391035           45397         6102335
1520998836.561620            0.0       661913600          391035           45397         6102335
1520998837.574537            0.5       661913600          391035           45397         6102335
1520998838.081013            0.0       661913600          391035           45397         6102335
1520998836.055284            0.5       661913600          391035           45397         6102335
1520998837.067934            1.0       661913600          391035           45397         6102335
1520998841.629781            0.5       661917696          391035           45397         6102335
1520998839.097895            0.5       661913600          391035           45397         6102335
1520998840.616901            0.0       661950464          391035           45397         6102335
1520998838.591567            0.5       661954560          391035           45397         6102335
1520998839.604186            0.5       661913600          391035           45397         6102335
1520998840.110514            0.5       661913600          391035           45397         6102335
1520998841.123360            0.5       661913600          391035           45397         6102335
1520998843.659727            0.5       661925888          391035           45397         6102335
1520998844.672333            0.5       661921792          391035           45397         6102335
1520998845.178689            0.0       661925888          391035           45397         6102335
1520998842.140562            0.0       661917696          391035           45397         6102335
1520998843.153370            0.0       661917696          391035           45397         6102335
1520998844.166086            0.5       661925888          391035           45397         6102335
1520998842.647038            1.0       661872640          391035           45397         6102335
