        Timestamp    cpu_percent   active_memory ChallengeFailed  ChallengeRecvd   ChallengeSent
1520998824.393882           50.9       626664960          400000           40397         6002335
1520998825.913032            1.9       621839872          400000           40397         6002335
1520998826.419359            0.9       621921792          400000           40397         6002335
1520998827.432033            1.9       621848064          400000           40397         6002335
1520998824.900273            2.9       621790720          400000           40397         6002335
1520998825.406674            0.9       621794816          400000           40397         6002335
1520998826.925740            0.9       621893120          400000           40397         6002335
1520998828.451739            0.9       621856256          400000           40397         6002335
1520998827.945192            0.9       621893120          400000           40397         6002335
1520998828.958098            0.9       621897216          400000           40397         6002335
1520998829.464441            0.9       621852160          400000           40397         6002335
1520998830.477153            0.9       621901312          400000           40397         6002335
1520998829.970775            0.9       621897216          400000           40397         6002335
1520998830.983498            0.9       621852160          400000           40397         6002335
1520998832.506924            1.9       621942272          400000           40397         6002335
1520998833.013284            0.9       621901312          400000           40397         6002335
1520998834.532314            0.9       621954560          400000           40397         6002335
1520998831.494266            1.9       621856256          400000           40397         6002335
1520998832.000611            0.9       621901312          400000           40397         6002335
1520998833.519604            0.9       621868544          400000           40397         6002335
1520998834.026016            0.9       621913600          400000           40397         6002335
1520998835.548738            0.9       621958656          400000           40397         6002335
1520998835.042418            1.9       621913600          400000           40397         6002335
1520998836.561620            0.9       621913600          400000           40397         6002335
1520998837.574537            0.9       621913600          400000           40397         6002335
1520998838.081013            0.9       621913600          400000           40397         6002335
1520998836.055284            0.9       621913600          400000           40397         6002335
1520998837.067934            1.9       621913600          400000           40397         6002335
1520998841.629781            0.9       621917696          400000           40397         6002335
1520998839.097895            0.9       621913600          400000           40397         6002335
1520998840.616901            0.9       621950464          400000           40397         6002335
1520998838.591567            0.9       621954560          400000           40397         6002335
1520998839.604186            0.9       621913600          400000           40397         6002335
1520998840.110514            0.9       621913600          400000           40397         6002335
1520998841.123360            0.9       621913600          400000           40397         6002335
1520998843.659727            0.9       621925888          400000           40397         6002335
1520998844.672333            0.9       621921792          400000           40397         6002335
1520998845.178689            0.9       621925888          400000           40397         6002335
1520998842.140562            0.9       621917696          400000           40397         6002335
1520998843.153370            0.9       621917696          400000           40397         6002335
1520998844.166086            0.9       621925888          400000           40397         6002335
1520998842.647038            1.9       621872640          400000           40397         6002335
